# skip lines starting with #
#
# file name;display name
alicates;Alicates
balancas;Balanças
binoculos;Binóculos
blocosparaanotacao;Blocos para Anotação
calculadoras;Calculadoras
canecas;Canecas
canivetes;Canivetes
cantis;Cantis
cantisparawhisky;Cantis para Whisky
chaveiros;Chaveiros
chaveirosnsraaparecida;Chaveiros N. Sra. Aparecida
coqueteleiras;Coqueteleiras
espelhos;Espelhos
ferramentas;Ferramentas
jogos;Jogos
kitsescritorio;Kits Escritório
pinceisparamaquiagem;Pincéis para Maquiagem
pincas;Pinças
portaperfumes;Porta perfumes
necessaires;Necessaires
portabatons;Porta Batons
portabolsas;Porta Bolsas
portacopos;Porta Copos
radios;Rádios
kitschurrasco;Kits Churrasco
kitscostura;Kits Costura
kitscozinha;Kits Cozinha
kitsqueijo;Kits Queijo
kitsmanicure;Kits Manicure
kitsvinho;Kits Vinho
lanternas;Lanternas
lupas;Lupas
mousepads;Mouse Pads
portacartoes;Porta Cartões
portafotos;Porta Fotos
relogios;Relógios
portacanetas;Porta Canetas
squeezes;Squeezes
